Filing Quarter,Misdemeanor,Felony,Total,Percent of filed cases with a felony top charge
2017 Q1,3277,1526,4803,31.77180929
2017 Q2,3638,1542,5180,29.76833977
2017 Q3,2834,1447,4281,33.8005139
2017 Q4,3912,1379,5291,26.06312606
2018 Q1,4286,1464,5750,25.46086957
2018 Q2,3266,1314,4580,28.68995633
2018 Q3,3354,1352,4706,28.72928177
2018 Q4,2668,1380,4048,34.09090909
2019 Q1,3567,1447,5014,28.85919426
2019 Q2,3117,1613,4730,34.10147992
2019 Q3,3390,1620,5010,32.33532934
2019 Q4,2806,1387,4193,33.07894109
2020 Q1,3476,1345,4821,27.89877619
2020 Q2,3006,1198,4204,28.49666984
2020 Q3,2009,1333,3342,39.88629563
2020 Q4,2260,1372,3632,37.7753304
2021 Q1,2607,1403,4010,34.98753117
2021 Q2,2154,1233,3387,36.40389725
2021 Q3,2509,1249,3758,33.2357637
2021 Q4,2312,1213,3525,34.41134752
2022 Q1,2507,1264,3771,33.51896049
2022 Q2,2471,1219,3690,33.03523035
2022 Q3,2615,1276,3891,32.79362632
2022 Q4,2284,1061,3345,31.71898356
2023 Q1,1929,957,2886,33.16008316
2023 Q2,2089,968,3057,31.66503108
2023 Q3,2138,975,3113,31.32026984
2023 Q4,1996,972,2968,32.74932615
2024 Q1,2230,1090,3320,32.8313253
2024 Q2,2104,1089,3193,34.10585656
2024 Q3,2539,1208,3747,32.23912463
